host,port,secure,anonymity,country_code,available,error_rate,average_response_time
191.96.42.80,8080,0,H,US,1,0.5,0.08
148.81.199.253,80,0,A,PL,1,0.0,0.84
185.12.69.174,8080,1,None,RU,1,0.0,0.37
209.97.150.167,8080,0,H,US,1,0.5,1.04
124.40.55.4,8082,0,H,JP,1,0.0,1.38
158.140.167.148,53281,0,H,ID,1,0.0,1.94
158.140.167.148,53281,1,None,ID,1,0.0,1.94
20.50.107.111,80,0,H,US,1,0.5,0.19
124.40.55.22,8082,0,H,JP,1,0.0,0.7
134.209.29.120,8080,0,H,US,1,0.5,1.18
124.40.55.4,8082,0,H,JP,1,0.0,0.68
161.35.4.201,80,0,H,US,1,0.75,1.9
181.129.183.19,53281,1,None,CO,1,0.6,1.26
93.91.112.247,41258,0,H,RU,1,0.75,3.29
51.81.82.175,80,0,H,GB,1,0.75,1.67
3.224.205.253,80,0,H,US,1,0.5,0.17
209.97.150.167,8080,0,H,US,1,0.5,0.44
139.59.1.14,8080,0,H,IN,1,0.5,0.99
124.40.55.4,8082,0,H,JP,1,0.0,1.21
138.68.60.8,8080,0,H,US,1,0.5,0.24
159.203.61.169,8080,0,H,CA,1,0.5,0.3
128.199.202.122,3128,0,H,SG,1,0.5,0.97
37.120.192.154,8080,0,A,RO,1,0.4,1.13
37.120.192.154,8080,1,None,RO,1,0.4,1.13
139.162.78.109,8080,0,H,JP,1,0.5,0.71
134.209.29.120,8080,0,H,US,1,0.5,0.21
47.75.90.57,80,0,H,US,1,0.5,0.64
124.40.55.4,8082,0,H,JP,1,0.0,0.53
124.40.55.22,8082,0,H,JP,1,0.0,0.89
46.4.96.137,3128,0,H,DE,1,0.5,0.23
124.40.55.22,8082,0,H,JP,1,0.0,0.82
124.40.55.4,8082,0,H,JP,1,0.0,0.89
139.59.1.14,8080,0,H,IN,1,0.5,0.57
52.74.18.115,80,0,H,SG,1,0.5,0.29
103.240.77.98,30093,1,None,IN,1,0.25,1.04
209.97.150.167,8080,0,H,US,1,0.5,0.19
74.143.245.221,80,0,A,US,1,0.5,0.09
159.203.61.169,8080,0,H,CA,1,0.5,0.08
102.129.249.120,8080,0,H,--,1,0.5,0.04
154.16.63.16,3128,0,H,GB,1,0.5,0.42
172.105.239.175,80,0,H,US,1,0.5,0.28
177.244.36.134,8080,0,H,MX,1,0.0,1.58
194.213.43.166,60530,0,H,CZ,1,0.0,1.59
79.120.177.106,8080,0,T,HU,1,0.0,2.91
79.120.177.106,8080,1,None,HU,1,0.0,2.91
124.40.55.4,8082,0,H,JP,1,0.0,0.52
148.81.199.253,80,0,A,PL,1,0.0,1.28
158.101.114.88,80,0,H,US,1,0.0,2.66
79.120.177.106,8080,0,T,HU,1,0.0,2.66
79.120.177.106,8080,1,None,HU,1,0.0,2.66
154.16.63.16,3128,0,H,GB,1,0.5,1.22
138.68.60.8,8080,0,H,US,1,0.5,1.35
158.101.114.88,80,0,H,US,1,0.0,1.63
124.40.55.4,8082,0,H,JP,1,0.0,1.66
82.99.217.18,8080,0,H,IR,1,0.0,1.82
14.97.2.104,80,0,A,IN,1,0.67,2.45
151.106.34.87,80,0,H,US,1,0.67,2.26
111.92.164.242,50249,1,None,ID,1,0.4,1.56
165.16.32.1,8080,0,T,LY,1,0.0,1.64
88.198.50.103,8080,0,H,DE,1,0.5,0.23
65.160.224.144,80,0,A,US,1,0.5,0.07
183.88.232.207,8080,1,None,TH,1,0.0,2.11
79.120.177.106,8080,0,T,HU,1,0.0,2.31
79.120.177.106,8080,1,None,HU,1,0.0,2.31
111.92.164.242,50249,0,H,ID,1,0.25,1.45
62.152.75.110,50287,0,H,RU,1,0.75,1.39
209.97.150.167,8080,0,H,US,1,0.5,0.71
154.16.63.16,3128,0,H,GB,1,0.5,1.11
167.71.5.83,8080,0,H,US,1,0.5,1.06
173.212.202.65,80,0,H,DE,1,0.5,1.57
79.120.177.106,8080,0,T,HU,1,0.0,1.2
79.120.177.106,8080,1,None,HU,1,0.0,1.2
3.224.205.253,80,0,H,US,1,0.5,1.74
20.50.107.111,80,0,H,US,1,0.67,0.15
103.123.229.107,8080,0,T,--,1,0.0,1.56
124.40.55.22,8082,0,H,JP,1,0.0,1.74
154.16.63.16,3128,0,H,GB,1,0.5,2.09
167.71.5.83,8080,0,H,US,1,0.5,0.4
151.106.34.87,80,0,H,US,1,0.5,0.48
138.68.60.8,8080,0,H,US,1,0.5,0.87
128.199.202.122,3128,0,H,SG,1,0.5,0.61
173.212.202.65,80,0,H,DE,1,0.5,0.66
209.97.150.167,8080,0,H,US,1,0.5,0.55
95.165.163.188,60103,0,H,RU,1,0.75,0.96
46.175.70.69,44239,1,None,UA,1,0.6,0.64
181.129.183.19,53281,1,None,CO,1,0.4,1.76
113.254.178.224,8380,0,H,HK,1,0.5,0.27
124.40.55.22,8082,0,H,JP,1,0.0,0.92
103.121.199.142,8080,0,A,--,1,0.0,1.24
103.121.199.142,8080,1,None,--,1,0.0,1.24
103.253.27.108,80,0,A,SG,1,0.5,0.28
192.140.42.81,47277,1,None,BR,1,0.0,3.07
172.105.239.175,80,0,H,US,1,0.5,0.42
51.81.82.175,80,0,H,GB,1,0.33,1.14
148.81.199.253,80,0,A,PL,1,0.25,0.75
103.240.77.98,30093,1,None,IN,1,0.25,0.94
103.240.77.98,30093,0,H,IN,1,0.25,0.94
79.120.177.106,8080,1,None,HU,1,0.0,2.79
87.237.234.187,3128,0,H,UZ,1,0.5,0.34
192.140.42.83,31511,1,None,BR,1,0.25,1.91
192.140.42.83,31511,0,H,BR,1,0.25,1.91
77.238.79.111,8080,1,None,BG,1,0.25,2.6
77.238.79.111,8080,0,H,BG,1,0.25,2.6
88.99.10.253,1080,0,H,DE,1,0.43,1.07
168.228.150.5,47507,0,H,BR,1,0.5,1.6
82.99.232.18,58689,1,None,IR,1,0.4,3.64
82.99.232.18,58689,0,H,IR,1,0.4,3.64
151.106.34.87,80,0,H,US,1,0.5,2.0
182.52.51.10,61124,1,None,TH,1,0.33,1.63
128.199.202.122,3128,0,H,SG,1,0.5,0.37
79.120.177.106,8080,0,T,HU,1,0.25,1.03
79.120.177.106,8080,1,None,HU,1,0.25,1.03
213.108.5.224,3128,0,H,RU,1,0.25,1.14
213.108.5.224,3128,1,None,RU,1,0.25,1.14
51.81.82.175,80,0,H,GB,1,0.33,0.52
79.120.177.106,8080,1,None,HU,1,0.0,0.73
79.120.177.106,8080,0,T,HU,1,0.0,0.73
148.81.199.253,80,0,A,PL,1,0.0,0.82
193.41.88.58,53281,1,None,UA,1,0.0,0.99
193.41.88.58,53281,0,H,UA,1,0.0,0.99
124.40.55.4,8082,0,H,JP,1,0.0,1.96
62.210.69.176,5566,1,None,FR,1,0.33,1.69
138.68.60.8,8080,0,H,US,1,0.5,0.14
151.106.34.87,80,0,H,US,1,0.5,0.33
5.252.161.48,8080,0,H,--,1,0.5,0.23
173.212.202.65,80,0,H,DE,1,0.5,1.23
79.120.177.106,8080,0,T,HU,1,0.0,0.85
79.120.177.106,8080,1,None,HU,1,0.0,0.85
170.81.35.26,36681,1,None,CR,1,0.0,1.23
81.161.61.88,35953,0,H,SK,1,0.0,2.4
81.161.61.88,35953,1,None,SK,1,0.0,2.4
190.211.105.86,55443,0,H,CR,1,0.5,3.32
213.108.5.224,3128,0,H,RU,1,0.0,1.18
37.228.65.107,32052,0,H,KZ,1,0.25,1.45
37.228.65.107,32052,1,None,KZ,1,0.25,1.45
74.143.245.221,80,0,A,US,1,0.75,0.32
114.7.27.98,8080,0,H,ID,1,0.0,2.34
104.248.48.169,31583,1,None,US,1,0.0,0.29
103.123.229.107,8080,0,T,--,1,0.0,3.19
208.80.28.208,8080,0,H,US,1,0.0,0.16
154.16.63.16,3128,0,H,GB,1,0.5,0.5
191.96.42.80,8080,0,H,US,1,0.5,0.09
20.50.107.111,80,0,H,US,1,0.5,0.24
65.18.114.254,55443,1,None,US,1,0.33,1.0
